,FIGHTER,KD,STR,TD,SUB,WEIGHT_CLASS,METHOD,ROUND,TIME
5716,"Matt Hughes
Matt Serra","0
1","34
14","3
1","0
0",Welterweight,U-DEC,3,5:00
5717,"Drew McFedries
Xavier Foupa-Pokam","2
0","8
0","0
0","0
0",Middleweight,"KO/TKO
Punches",1,0:37
5718,"Chael Sonnen
Dan Miller","0
0","36
9","3
0","0
2",Middleweight,U-DEC,3,5:00
5719,"Frankie Edgar
Sean Sherk","0
0","74
27","1
1","1
0",Lightweight,U-DEC,3,5:00
5720,"Brock Larson
Mike Pyle","0
0","4
1","1
0","1
0",Welterweight,"SUB
Arm Triangle",1,3:06
5721,"Tim Hague
Pat Barry","0
0","0
3","1
0","1
0",Heavyweight,"SUB
Guillotine Choke",1,1:42
5722,"Kyle Bradley
Phillipe Nover","0
0","7
3","1
0","0
0",Lightweight,"KO/TKO
Punches",1,1:03
5723,"Krzysztof Soszynski
Andre Gusmao","1
0","18
17","0
0","0
0",Light Heavyweight,"KO/TKO
Punch",1,3:17
5724,"Yoshiyuki Yoshida
Brandon Wolff","0
0","4
2","0
0","1
0",Welterweight,"SUB
Guillotine Choke",1,2:24
5725,"George Roop
David Kaplan","0
0","62
50","0
5","0
0",Lightweight,S-DEC,3,5:00
5726,"Anderson Silva
Thales Leites","0
0","94
10","0
1","0
0",Middleweight,U-DEC,5,5:00
5727,"Sam Stout
Matt Wiman","1
0","62
46","0
4","0
2",Lightweight,U-DEC,3,5:00
5728,"Mauricio Rua
Chuck Liddell","1
0","24
8","0
1","0
0",Light Heavyweight,"KO/TKO
Punch",1,4:28
5729,"Krzysztof Soszynski
Brian Stann","0
0","3
8","2
0","2
0",Light Heavyweight,"SUB
Kimura",1,3:53
5730,"Cheick Kongo
Antoni Hardonk","0
0","53
9","2
0","0
0",Heavyweight,"KO/TKO
Punches",2,2:29
5731,"Luiz Cane
Steve Cantwell","0
0","87
69","0
0","0
0",Light Heavyweight,U-DEC,3,5:00
5732,"Denis Kang
Xavier Foupa-Pokam","0
0","31
23","5
0","1
0",Middleweight,U-DEC,3,5:00
5733,"Nate Quarry
Jason MacDonald","0
0","16
1","1
0","0
0",Middleweight,"KO/TKO
Elbows",1,2:27
5734,"Ed Herman
David Loiseau","0
0","71
6","5
0","0
0",Middleweight,U-DEC,3,5:00
5735,"Mark Bocek
David Bielkheden","0
0","20
4","1
0","1
0",Lightweight,"SUB
Rear Naked Choke",1,4:57
5736,"TJ Grant
Ryo Chonan","0
0","34
31","3
2","0
0",Welterweight,S-DEC,3,5:00
5737,"Eliot Marshall
Vinny Magalhaes","0
0","44
34","0
2","0
0",Light Heavyweight,U-DEC,3,5:00
5738,"Martin Kampmann
Carlos Condit","0
0","26
35","5
3","6
3",Welterweight,S-DEC,3,5:00
5739,"Ryan Bader
Carmelo Marrero","0
0","24
9","5
0","2
0",Light Heavyweight,U-DEC,3,5:00
5740,"Tyson Griffin
Rafael Dos Anjos","0
0","69
26","1
0","0
3",Lightweight,U-DEC,3,5:00
5741,"Cole Miller
Junie Browning","0
0","3
1","0
0","1
0",Lightweight,"SUB
Guillotine Choke",1,1:58
5742,"Gleison Tibau
Jeremy Stephens","0
0","7
23","5
0","3
0",Lightweight,U-DEC,3,5:00
5743,"Ricardo Almeida
Matt Horwich","0
0","41
25","9
0","1
3",Middleweight,U-DEC,3,5:00
5744,"Brock Larson
Jesse Sanders","0
0","13
0","1
0","1
0",Welterweight,"SUB
Rear Naked Choke",1,2:01
5745,"Tim Credeur
Nick Catone","0
0","9
19","0
3","7
0",Middleweight,"SUB
Guillotine Choke",2,3:45
5746,"Jorge Rivera
Nissen Osterneck","1
0","29
35","4
1","0
1",Middleweight,S-DEC,3,5:00
5747,"Rob Kimmons
Joe Vedepo","0
0","7
4","0
1","2
0",Middleweight,"SUB
Guillotine Choke",1,1:54
5748,"Aaron Simpson
Tim McKenzie","1
0","16
1","1
0","0
0",Middleweight,"KO/TKO
Punches",1,1:40
5749,"Quinton Jackson
Keith Jardine","2
0","56
64","2
0","0
0",Light Heavyweight,U-DEC,3,5:00
5750,"Shane Carwin
Gabriel Gonzaga","1
0","4
5","0
1","0
0",Heavyweight,"KO/TKO
Punch",1,1:09
5751,"Matt Brown
Pete Sell","2
0","24
0","0
0","0
0",Welterweight,"KO/TKO
Punches",1,1:32
5752,"Matt Hamill
Mark Munoz","1
0","23
14","0
0","0
0",Light Heavyweight,"KO/TKO
Kick",1,3:53
5753,"Gray Maynard
Jim Miller","0
0","37
25","1
0","0
1",Lightweight,U-DEC,3,5:00
5754,"Tamdan McCrory
Ryan Madigan","0
0","12
0","1
0","0
0",Welterweight,"KO/TKO
Elbows",1,3:35
5755,"Kendall Grove
Jason Day","1
0","10
6","0
0","0
0",Middleweight,"KO/TKO
Punch",1,1:32
5756,"Jason Brilz
Tim Boetsch","0
0","34
27","4
0","1
0",Light Heavyweight,U-DEC,3,5:00
5757,"Brandon Vera
Michael Patt","2
0","32
5","0
0","0
0",Light Heavyweight,"KO/TKO
Kicks",2,1:27
5758,"Shane Nelson
Aaron Riley","1
0","5
4","0
0","0
0",Lightweight,"KO/TKO
Punch",1,0:44
5759,"Diego Sanchez
Joe Stevenson","0
0","91
41","1
0","1
1",Lightweight,U-DEC,3,5:00
5760,"Dan Hardy
Rory Markham","1
0","5
2","0
0","0
0",Welterweight,"KO/TKO
Punch",1,1:09
5761,"Nate Marquardt
Wilson Gouveia","1
0","67
16","2
0","1
1",Middleweight,"KO/TKO
Flying Knee",3,3:10
5762,"Demian Maia
Chael Sonnen","0
0","6
8","1
0","1
0",Middleweight,"SUB
Triangle Choke",1,2:37
5763,"Paulo Thiago
Josh Koscheck","1
0","7
8","0
0","0
0",Welterweight,"KO/TKO
Punches",1,3:29
5764,"Terry Etim
Brian Cobb","1
0","19
0","1
2","0
0",Lightweight,"KO/TKO
Kick",2,0:10
5765,"Junior Dos Santos
Stefan Struve","2
0","12
0","0
0","0
0",Heavyweight,"KO/TKO
Punches",1,0:54
5766,"Evan Dunham
Per Eklund","1
0","13
9","0
1","1
1",Lightweight,"KO/TKO
Punch",1,2:13
5767,"Mike Ciesnolevicz
Neil Grove","0
0","0
0","0
0","2
1",Heavyweight,"SUB
Heel Hook",1,1:03
5768,"Paul Kelly
Troy Mandaloniz","0
1","71
38","2
4","0
0",Welterweight,U-DEC,3,5:00
5769,"Joe Lauzon
Jeremy Stephens","0
0","11
15","2
1","4
0",Lightweight,"SUB
Armbar",2,4:43
5770,"Cain Velasquez
Denis Stojnic","0
0","88
7","1
0","0
1",Heavyweight,"KO/TKO
Punches",2,2:34
5771,"Josh Neer
Mac Danzig","0
1","46
33","0
0","3
0",Lightweight,"SUB
Triangle Choke",2,3:36
5772,"Anthony Johnson
Luigi Fioravanti","1
0","21
12","0
0","0
0",Welterweight,"KO/TKO
Punch",1,4:39
5773,"Kurt Pellegrino
Rob Emerson","0
0","16
21","1
2","1
0",Lightweight,"SUB
Rear Naked Choke",2,3:14
5774,"Dan Miller
Jake Rosholt","0
0","2
2","0
1","2
0",Middleweight,"SUB
Guillotine Choke",1,1:03
5775,"Matt Veach
Matt Grice","1
1","12
29","1
0","0
1",Lightweight,"KO/TKO
Punch",1,4:34
5776,"Gleison Tibau
Rich Clementi","0
0","7
1","2
0","1
0",Lightweight,"SUB
Guillotine Choke",1,4:35
5777,"Nick Catone
Derek Downey","0
0","21
2","4
1","2
0",Middleweight,"SUB
Keylock",2,1:15
5778,"Matthew Riddle
Steve Bruno","0
0","48
22","4
1","0
0",Welterweight,U-DEC,3,5:00
5779,"Georges St-Pierre
BJ Penn","0
0","92
16","4
0","0
0",Welterweight,KO/TKO,4,5:00
5780,"Lyoto Machida
Thiago Silva","2
0","24
2","2
0","0
0",Light Heavyweight,"KO/TKO
Punch",1,4:59
5781,"Jon Jones
Stephan Bonnar","1
0","45
37","7
0","0
0",Light Heavyweight,U-DEC,3,5:00
5782,"Karo Parisyan
Dong Hyun Kim","0
0","24
19","2
2","1
2",Welterweight,Overturned,3,5:00
5783,"Clay Guida
Nate Diaz","0
0","49
49","4
0","1
0",Lightweight,S-DEC,3,5:00
5784,"Jon Fitch
Akihiro Gono","0
0","40
7","4
0","2
0",Welterweight,U-DEC,3,5:00
5785,"Thiago Tavares
Manvel Gamburyan","0
0","27
26","3
1","0
1",Lightweight,U-DEC,3,5:00
5786,"John Howard
Chris Wilson","0
0","21
45","7
2","2
2",Welterweight,S-DEC,3,5:00
5787,"Jake O'Brien
Christian Wellisch","1
0","25
46","9
0","0
0",Light Heavyweight,S-DEC,3,5:00
5788,"Dan Cramer
Matt Arroyo","0
0","24
16","0
2","0
5",Welterweight,S-DEC,3,5:00
5789,"Dan Henderson
Rich Franklin","0
0","36
39","4
0","0
0",Light Heavyweight,S-DEC,3,5:00
5790,"Mauricio Rua
Mark Coleman","2
0","62
31","1
7","2
0",Light Heavyweight,"KO/TKO
Punches",3,4:36
5791,"Rousimar Palhares
Jeremy Horn","0
0","18
7","7
1","0
1",Middleweight,U-DEC,3,5:00
5792,"Alan Belcher
Denis Kang","0
0","9
26","0
3","1
1",Middleweight,"SUB
Guillotine Choke",2,4:36
5793,"Marcus Davis
Chris Lytle","0
0","59
73","0
0","0
0",Welterweight,S-DEC,3,5:00
5794,"John Hathaway
Tom Egan","0
0","18
0","5
0","0
0",Welterweight,"KO/TKO
Elbows",1,4:36
5795,"Martin Kampmann
Alexandre Barros","1
0","33
8","0
1","2
0",Welterweight,"KO/TKO
Punches",2,3:09
5796,"Eric Schafer
Antonio Mendes","0
0","22
3","0
0","0
0",Light Heavyweight,"KO/TKO
Punches",1,3:35
5797,"Tomasz Drwal
Ivan Serati","0
0","14
3","1
0","0
0",Light Heavyweight,"KO/TKO
Punches",1,2:02
5798,"Dennis Siver
Nate Mohr","1
0","48
48","0
1","0
0",Lightweight,"KO/TKO
Spinning Back Kick",3,3:45
5799,"Rashad Evans
Forrest Griffin","0
0","49
50","1
0","0
0",Light Heavyweight,"KO/TKO
Punches",3,2:46
5800,"Frank Mir
Antonio Rodrigo Nogueira","3
0","37
10","1
0","0
0",Heavyweight,"KO/TKO
Punch",2,1:54
5801,"CB Dollaway
Mike Massenzio","0
1","9
3","1
0","0
2",Middleweight,"KO/TKO
Punches",1,3:01
5802,"Quinton Jackson
Wanderlei Silva","1
0","11
7","0
0","0
0",Light Heavyweight,"KO/TKO
Punch",1,3:21
5803,"Cheick Kongo
Mostapha Al-Turk","1
0","34
4","1
0","0
0",Heavyweight,"KO/TKO
Elbows",1,4:37
5804,"Yushin Okami
Dean Lister","0
0","39
6","0
0","0
0",Middleweight,U-DEC,3,5:00
5805,"Antoni Hardonk
Mike Wessel","0
0","46
13","0
3","2
0",Heavyweight,"KO/TKO
Punches",2,2:09
5806,"Matt Hamill
Reese Andy","0
0","40
34","1
0","0
0",Light Heavyweight,"KO/TKO
Punches",2,2:19
5807,"Brad Blackburn
Ryo Chonan","1
0","79
63","0
0","0
0",Welterweight,U-DEC,3,5:00
5808,"Pat Barry
Dan Evensen","0
0","6
0","0
0","0
0",Heavyweight,"KO/TKO
Kicks",1,2:36
5809,"Efrain Escudero
Phillipe Nover","0
0","27
20","7
0","0
2",Lightweight,U-DEC,3,5:00
5810,"Ryan Bader
Vinny Magalhaes","1
0","15
4","0
0","0
0",Light Heavyweight,"KO/TKO
Punch",1,2:18
5811,"Anthony Johnson
Kevin Burns","1
0","35
17","3
0","0
2",Welterweight,"KO/TKO
Kick",3,0:28
5812,"Wilson Gouveia
Jason MacDonald","1
0","18
6","0
1","0
0",Middleweight,"KO/TKO
Elbow",1,2:18
5813,"Junie Browning
David Kaplan","0
0","31
12","2
2","2
1",Lightweight,"SUB
Armbar",2,1:32
5814,"Krzysztof Soszynski
Shane Primm","0
0","19
7","0
1","1
0",Light Heavyweight,"SUB
Kimura",2,3:27
5815,"Eliot Marshall
Jules Bruchez","0
0","8
1","1
0","2
0",Light Heavyweight,"SUB
Rear Naked Choke",1,1:27
5816,"Tom Lawlor
Kyle Kingsbury","0
0","14
10","7
0","0
0",Light Heavyweight,U-DEC,3,5:00
5817,"Shane Nelson
George Roop","0
0","10
21","3
1","2
0",Lightweight,S-DEC,3,5:00
5818,"Rolando Delgado
John Polakowski","1
0","15
1","1
0","3
1",Lightweight,"SUB
Guillotine Choke",2,2:18
5819,"Josh Koscheck
Yoshiyuki Yoshida","1
0","6
6","0
0","0
0",Welterweight,"KO/TKO
Punches",1,2:15
5820,"Mike Swick
Jonathan Goulet","1
0","7
1","0
0","0
0",Welterweight,"KO/TKO
Punch",1,0:33
5821,"Steve Cantwell
Razak Al-Hassan","0
0","15
13","1
0","1
0",Light Heavyweight,"SUB
Armbar",1,4:04
5822,"Tim Credeur
Nate Loughran","0
0","52
25","1
0","0
0",Middleweight,KO/TKO,2,5:00
5823,"Jim Miller
Matt Wiman","0
0","61
20","4
1","2
0",Lightweight,U-DEC,3,5:00
5824,"Luigi Fioravanti
Brodie Farber","0
0","30
10","8
1","5
1",Catch Weight,U-DEC,3,5:00
5825,"Steve Bruno
Johnny Rees","0
0","10
36","3
1","1
0",Welterweight,"SUB
Rear Naked Choke",2,3:44
5826,"Ben Saunders
Brandon Wolff","1
0","42
0","0
0","0
0",Welterweight,"KO/TKO
Knees",1,1:49
5827,"Dale Hartt
Corey Hill","0
0","8
8","0
2","0
0",Lightweight,KO/TKO,2,0:20
5828,"Justin McCully
Eddie Sanchez","1
1","40
42","1
0","0
0",Heavyweight,U-DEC,3,5:00
5829,"Brock Lesnar
Randy Couture","1
0","31
11","2
1","0
0",Heavyweight,"KO/TKO
Punches",2,3:07
5830,"Kenny Florian
Joe Stevenson","0
0","17
6","1
1","1
0",Lightweight,"SUB
Rear Naked Choke",1,4:03
5831,"Dustin Hazelett
Tamdan McCrory","0
0","10
15","0
0","3
0",Welterweight,"SUB
Armbar",1,3:59
5832,"Gabriel Gonzaga
Josh Hendricks","1
0","12
1","0
0","0
0",Heavyweight,"KO/TKO
Punch",1,1:01
5833,"Demian Maia
Nate Quarry","0
0","2
0","1
0","1
0",Middleweight,"SUB
Rear Naked Choke",1,2:13
5834,"Aaron Riley
Jorge Gurgel","0
0","98
70","1
1","0
0",Lightweight,U-DEC,3,5:00
5835,"Jeremy Stephens
Rafael Dos Anjos","1
0","22
9","0
4","0
2",Lightweight,"KO/TKO
Punch",3,0:39
5836,"Mark Bocek
Alvin Robinson","0
0","21
5","1
0","6
0",Lightweight,"SUB
Rear Naked Choke",3,3:16
5837,"Matt Brown
Ryan Thomas","0
0","15
15","1
5","3
0",Welterweight,"SUB
Armbar",2,0:57
5838,"Anderson Silva
Patrick Cote","0
0","29
16","1
0","0
0",Middleweight,KO/TKO,3,0:39
5839,"Thiago Alves
Josh Koscheck","2
0","80
39","0
0","0
0",Welterweight,U-DEC,3,5:00
5840,"Gray Maynard
Rich Clementi","0
0","22
7","5
0","2
0",Lightweight,U-DEC,3,5:00
5841,"Junior Dos Santos
Fabricio Werdum","1
0","7
6","0
0","0
0",Heavyweight,"KO/TKO
Punch",1,1:21
5842,"Sean Sherk
Tyson Griffin","0
0","92
74","3
0","0
0",Lightweight,U-DEC,3,5:00
5843,"Thales Leites
Drew McFedries","0
0","0
1","1
0","1
0",Middleweight,"SUB
Rear Naked Choke",1,1:18
5844,"Spencer Fisher
Shannon Gugerty","1
0","30
28","0
2","2
1",Lightweight,"SUB
Triangle Choke",3,3:56
5845,"Dan Miller
Matt Horwich","0
0","31
15","6
0","0
5",Middleweight,U-DEC,3,5:00
5846,"Hermes Franca
Marcus Aurelio","0
0","60
40","0
1","0
0",Lightweight,U-DEC,3,5:00
5847,"Pete Sell
Joshua Burkman","0
0","65
50","1
4","1
0",Welterweight,U-DEC,3,5:00
5848,"Michael Bisping
Chris Leben","0
0","70
51","1
1","0
0",Middleweight,U-DEC,3,5:00
5849,"Keith Jardine
Brandon Vera","1
1","50
48","2
1","0
0",Light Heavyweight,S-DEC,3,5:00
5850,"Luiz Cane
Rameau Thierry Sokoudjou","1
0","41
28","0
0","0
0",Light Heavyweight,"KO/TKO
Punches",2,4:15
5851,"Chris Lytle
Paul Taylor","0
0","102
85","2
0","0
0",Welterweight,U-DEC,3,5:00
5852,"Marcus Davis
Paul Kelly","0
0","25
3","1
1","1
1",Welterweight,"SUB
Guillotine Choke",2,2:16
5853,"Dan Hardy
Akihiro Gono","0
0","57
56","0
3","0
0",Welterweight,S-DEC,3,5:00
5854,"Shane Carwin
Neil Wain","0
0","13
4","1
0","0
0",Heavyweight,"KO/TKO
Punches",1,1:31
5855,"David Bielkheden
Jess Liaudin","0
0","36
12","7
1","0
2",Lightweight,U-DEC,3,5:00
5856,"Terry Etim
Sam Stout","0
0","69
55","0
1","0
0",Lightweight,U-DEC,3,5:00
5857,"Jim Miller
David Baron","0
0","15
7","5
0","5
1",Lightweight,"SUB
Rear Naked Choke",3,3:19
5858,"Per Eklund
Samy Schiavo","0
0","31
23","1
1","5
1",Lightweight,"SUB
Rear Naked Choke",3,1:47
5859,"Nate Diaz
Josh Neer","0
0","40
26","5
4","0
4",Lightweight,S-DEC,3,5:00
5860,"Clay Guida
Mac Danzig","0
0","43
36","10
1","0
0",Lightweight,U-DEC,3,5:00
5861,"Alan Belcher
Ed Herman","0
0","54
43","0
5","0
2",Middleweight,S-DEC,3,5:00
5862,"Eric Schafer
Houston Alexander","0
0","24
12","1
0","2
0",Light Heavyweight,"SUB
Arm Triangle",1,4:53
5863,"Alessio Sakara
Joe Vedepo","1
0","7
7","0
0","0
0",Middleweight,"KO/TKO
Kick",1,1:27
5864,"Wilson Gouveia
Ryan Jensen","0
0","8
30","1
2","2
0",Middleweight,"SUB
Armbar",2,2:04
5865,"Joe Lauzon
Kyle Bradley","0
0","23
18","1
0","2
0",Lightweight,"KO/TKO
Punches",2,1:34
5866,"Jason Brilz
Brad Morris","0
0","34
4","1
0","1
0",Light Heavyweight,"KO/TKO
Punches",2,2:54
5867,"Mike Massenzio
Drew McFedries","0
0","0
3","1
0","1
1",Middleweight,"SUB
Kimura",1,1:28
5868,"Dan Miller
Rob Kimmons","0
0","0
0","0
0","2
0",Middleweight,"SUB
Rear Naked Choke",1,1:27
5869,"Rashad Evans
Chuck Liddell","1
0","13
10","0
0","0
0",Light Heavyweight,"KO/TKO
Punch",2,1:51
5870,"Rich Franklin
Matt Hamill","1
0","71
13","0
1","0
0",Light Heavyweight,"KO/TKO
Kick",3,0:39
5871,"Dan Henderson
Rousimar Palhares","1
0","42
27","0
2","0
1",Middleweight,U-DEC,3,5:00
5872,"Nate Marquardt
Martin Kampmann","1
0","22
1","0
0","0
0",Middleweight,"KO/TKO
Punches",1,1:22
5873,"Dong Hyun Kim
Matt Brown","0
0","12
48","3
1","1
2",Welterweight,S-DEC,3,5:00
5874,"Kurt Pellegrino
Thiago Tavares","2
0","61
18","1
1","1
0",Lightweight,U-DEC,3,5:00
5875,"Tim Boetsch
Michael Patt","1
0","15
9","0
0","0
0",Light Heavyweight,"KO/TKO
Punches",1,2:03
5876,"Jason MacDonald
Jason Lambert","0
0","10
1","2
0","1
2",Middleweight,"SUB
Rear Naked Choke",2,1:20
5877,"Ryo Chonan
Roan Carneiro","0
0","23
18","0
2","0
1",Welterweight,S-DEC,3,5:00
5878,"Georges St-Pierre
Jon Fitch","3
0","131
37","7
0","1
0",Welterweight,U-DEC,5,5:00
5879,"Brock Lesnar
Heath Herring","1
0","45
9","5
0","1
0",Heavyweight,U-DEC,3,5:00
5880,"Rob Emerson
Manvel Gamburyan","1
0","3
0","0
0","0
0",Lightweight,"KO/TKO
Punch",1,0:12
5881,"Kenny Florian
Roger Huerta","0
0","51
33","5
0","0
0",Lightweight,U-DEC,3,5:00
5882,"Demian Maia
Jason MacDonald","0
0","30
7","2
0","3
4",Middleweight,"SUB
Rear Naked Choke",3,2:44
5883,"Tamdan McCrory
Luke Cummo","0
0","26
11","4
1","7
1",Welterweight,U-DEC,3,5:00
5884,"Cheick Kongo
Dan Evensen","1
0","23
2","2
0","0
2",Heavyweight,"KO/TKO
Punch",1,4:55
5885,"Jon Jones
Andre Gusmao","0
0","42
34","2
0","0
0",Light Heavyweight,U-DEC,3,5:00
5886,"Chris Wilson
Steve Bruno","3
0","47
5","2
1","2
0",Welterweight,U-DEC,3,5:00
5887,"Ben Saunders
Ryan Thomas","1
0","41
12","1
0","2
2",Welterweight,"SUB
Armbar",2,2:28
5888,"Anderson Silva
James Irvin","1
0","13
0","0
0","0
0",Light Heavyweight,"KO/TKO
Punch",1,1:01
5889,"Brandon Vera
Reese Andy","0
0","38
30","2
1","0
0",Light Heavyweight,U-DEC,3,5:00
5890,"Frankie Edgar
Hermes Franca","0
0","69
18","10
0","0
1",Lightweight,U-DEC,3,5:00
5891,"Cain Velasquez
Jake O'Brien","0
0","24
1","1
0","0
0",Heavyweight,"KO/TKO
Punches",1,2:02
5892,"Kevin Burns
Anthony Johnson","0
0","37
51","0
5","0
0",Welterweight,KO/TKO,3,3:35
5893,"CB Dollaway
Jesse Taylor","0
0","4
4","0
1","2
0",Middleweight,"SUB
Peruvian Necktie",1,3:58
5894,"Tim Credeur
Cale Yarbrough","1
0","19
6","0
0","0
0",Middleweight,"KO/TKO
Punches",1,1:54
5895,"Rory Markham
Brodie Farber","1
0","6
18","0
0","0
0",Welterweight,"KO/TKO
Kick",1,1:37
5896,"Nate Loughran
Johnny Rees","0
0","1
7","0
0","2
0",Middleweight,"SUB
Triangle Choke",1,4:21
5897,"Brad Blackburn
James Giboo","4
0","53
9","0
0","0
0",Welterweight,"KO/TKO
Punches",2,2:29
5898,"Shannon Gugerty
Dale Hartt","0
0","3
1","1
0","2
2",Lightweight,"SUB
Rear Naked Choke",1,3:33
5899,"Forrest Griffin
Quinton Jackson","0
1","77
50","0
0","3
0",Light Heavyweight,U-DEC,5,5:00
5900,"Patrick Cote
Ricardo Almeida","0
0","24
26","0
2","0
2",Middleweight,S-DEC,3,5:00
5901,"Joe Stevenson
Gleison Tibau","1
0","12
4","1
5","2
1",Lightweight,"SUB
Guillotine Choke",2,2:57
5902,"Josh Koscheck
Chris Lytle","0
0","38
16","2
0","0
5",Welterweight,U-DEC,3,5:00
5903,"Tyson Griffin
Marcus Aurelio","0
0","92
20","3
0","0
1",Lightweight,U-DEC,3,5:00
5904,"Gabriel Gonzaga
Justin McCully","0
0","6
2","1
0","1
0",Heavyweight,"SUB
Kimura",1,1:57
5905,"Cole Miller
Jorge Gurgel","0
0","41
54","1
3","2
0",Lightweight,"SUB
Triangle Choke",3,4:48
5906,"Melvin Guillard
Dennis Siver","2
0","10
0","0
0","0
0",Lightweight,"KO/TKO
Punches",1,0:36
5907,"Justin Buchholz
Corey Hill","0
0","24
34","0
2","1
0",Lightweight,"SUB
Rear Naked Choke",2,3:57
5908,"Kendall Grove
Evan Tanner","0
0","59
27","0
3","1
0",Middleweight,S-DEC,3,5:00
5909,"Amir Sadollah
CB Dollaway","0
0","2
6","0
1","2
0",Middleweight,"SUB
Armbar",1,3:02
5910,"Diego Sanchez
Luigi Fioravanti","2
0","51
27","0
1","1
1",Welterweight,"KO/TKO
Flying Knee",3,4:07
5911,"Spencer Fisher
Jeremy Stephens","0
0","56
23","1
2","0
3",Lightweight,U-DEC,3,5:00
5912,"Matthew Riddle
Dante Rivera","0
0","60
34","5
0","2
0",Middleweight,U-DEC,3,5:00
5913,"Dustin Hazelett
Joshua Burkman","0
0","13
34","1
1","3
0",Welterweight,"SUB
Armbar",2,4:46
5914,"Drew McFedries
Marvin Eastman","1
0","19
3","1
1","0
0",Middleweight,"KO/TKO
Punches",1,1:08
5915,"Matt Brown
Matt Arroyo","0
0","32
26","0
2","1
0",Welterweight,"KO/TKO
Punches",2,3:40
5916,"Dean Lister
Jeremy Horn","0
0","6
2","1
0","1
0",Middleweight,"SUB
Guillotine Choke",1,3:52
5917,"Rob Kimmons
Rob Yundt","0
0","9
5","1
1","4
0",Middleweight,"SUB
Guillotine Choke",1,3:58
5918,"Thiago Alves
Matt Hughes","1
0","10
9","1
1","0
0",Welterweight,"KO/TKO
Flying Knee",2,1:02
5919,"Michael Bisping
Jason Day","0
0","25
7","2
0","0
0",Middleweight,"KO/TKO
Punches",1,3:42
5920,"Mike Swick
Marcus Davis","0
0","32
31","2
3","1
2",Welterweight,U-DEC,3,5:00
5921,"Thales Leites
Nate Marquardt","1
0","13
35","0
5","2
0",Middleweight,S-DEC,3,5:00
5922,"Fabricio Werdum
Brandon Vera","0
0","15
15","2
0","0
0",Heavyweight,"KO/TKO
Punches",1,4:40
5923,"Martin Kampmann
Jorge Rivera","0
0","4
2","1
0","2
1",Middleweight,"SUB
Guillotine Choke",1,2:44
5924,"Matt Wiman
Thiago Tavares","1
0","18
13","2
1","1
3",Lightweight,"KO/TKO
Punches",2,1:57
5925,"Kevin Burns
Roan Carneiro","0
0","8
12","0
2","1
0",Welterweight,"SUB
Triangle Choke",2,3:50
5926,"Luiz Cane
Jason Lambert","3
0","15
8","0
0","0
0",Light Heavyweight,"KO/TKO
Punches",1,2:07
5927,"Paul Taylor
Jess Liaudin","1
0","45
35","1
7","0
1",Welterweight,S-DEC,3,5:00
5928,"Antoni Hardonk
Eddie Sanchez","1
2","48
33","0
2","0
0",Heavyweight,"KO/TKO
Punch",2,4:15
5929,"BJ Penn
Sean Sherk","1
0","122
46","0
0","0
0",Lightweight,"KO/TKO
Flying Knee",3,5:00
5930,"Wanderlei Silva
Keith Jardine","2
0","11
1","0
0","0
0",Light Heavyweight,"KO/TKO
Punch",1,0:36
5931,"Goran Reljic
Wilson Gouveia","1
1","33
33","0
0","0
0",Light Heavyweight,"KO/TKO
Punch",2,3:15
5932,"Lyoto Machida
Tito Ortiz","1
0","41
16","1
0","0
2",Light Heavyweight,U-DEC,3,5:00
5933,"Thiago Silva
Antonio Mendes","0
1","19
5","0
1","1
0",Light Heavyweight,"KO/TKO
Punches",1,2:24
5934,"Rousimar Palhares
Ivan Salaverry","0
0","0
1","1
0","3
0",Middleweight,"SUB
Armbar",1,2:36
5935,"Rameau Thierry Sokoudjou
Kazuhiro Nakamura","1
0","26
6","0
0","0
0",Light Heavyweight,KO/TKO,1,5:00
5936,"Rich Clementi
Terry Etim","0
1","20
23","4
0","0
1",Lightweight,U-DEC,3,5:00
5937,"Yoshiyuki Yoshida
War Machine","0
0","1
1","1
0","1
0",Welterweight,"SUB
Anaconda Choke",1,0:56
5938,"Dong Hyun Kim
Jason Tan","0
0","77
2","3
0","0
0",Welterweight,"KO/TKO
Elbows",3,0:25
5939,"Shane Carwin
Christian Wellisch","1
0","5
2","0
0","0
0",Heavyweight,"KO/TKO
Punch",1,0:44
5940,"Georges St-Pierre
Matt Serra","0
0","42
3","4
0","0
0",Welterweight,"KO/TKO
Knees",2,4:45
5941,"Rich Franklin
Travis Lutter","1
0","28
1","0
1","0
1",Middleweight,"KO/TKO
Punches",2,3:01
5942,"Nate Quarry
Kalib Starnes","0
0","84
12","0
1","0
0",Middleweight,U-DEC,3,5:00
5943,"Michael Bisping
Charles McCarthy","1
0","39
1","0
1","0
1",Middleweight,"KO/TKO
Knees",1,5:00
5944,"Mac Danzig
Mark Bocek","1
0","46
22","1
3","2
0",Lightweight,"SUB
Rear Naked Choke",3,3:48
5945,"Jason MacDonald
Joe Doerksen","0
0","13
4","1
1","2
3",Middleweight,"KO/TKO
Elbows",2,0:54
5946,"Jason Day
Alan Belcher","0
0","29
3","0
1","0
0",Middleweight,"KO/TKO
Punches",1,3:58
5947,"Demian Maia
Ed Herman","0
0","15
15","1
1","3
0",Middleweight,"SUB
Triangle Choke",2,2:27
5948,"Rich Clementi
Sam Stout","0
0","40
48","3
0","3
0",Lightweight,S-DEC,3,5:00
